x_U2F8 x_UF3 x_UF4 x_U[VII]-F4 x_U[VI]-F4 
0 0.00233141 0.046982 0 0 
0 0.002329 0.0469807 0 0 
0 0.00232656 0.0469787 0 0 
0 0.00232406 0.0469766 0 0 
0 0.00232164 0.0469741 0 0 
0 0.00231927 0.0469721 0 0 
0 0.00231677 0.04697 0 0 
0 0.00231434 0.0469679 0 0 
0 0.00231184 0.0469651 0 0 
0 0.00230948 0.046963 0 0 
0 0.00230706 0.0469609 0 0 
0 0.00230466 0.0469593 0 0 
0 0.00230216 0.0469563 0 0 
0 0.00229987 0.0469543 0 0 
0 0.00229739 0.0469522 0 0 
0 0.00229497 0.0469493 0 0 
0 0.00229259 0.0469481 0 0 
0 0.00229013 0.0469465 0 0 
0 0.00228785 0.0469443 0 0 
0 0.00228537 0.0469416 0 0 
0 0.00228297 0.0469395 0 0 
0 0.00228056 0.0469374 0 0 
0 0.00227822 0.0469345 0 0 
0 0.00227581 0.0469324 0 0 
0 0.00227343 0.0469307 0 0 
0 0.00227097 0.0469286 0 0 
0 0.0022687 0.0469257 0 0 
0 0.00226624 0.0469236 0 0 
0 0.00226391 0.0469215 0 0 
0 0.00226153 0.0469196 0 0 
0 0.00225929 0.0469173 0 0 
0 0.00225686 0.0469158 0 0 
0 0.00225447 0.0469137 0 0 
0 0.00225203 0.0469115 0 0 
0 0.00224964 0.0469086 0 0 
0 0.00224739 0.0469065 0 0 
0 0.00224507 0.0469044 0 0 
0 0.00224265 0.0469021 0 0 
0 0.00224027 0.0468999 0 0 
0 0.00223803 0.0468979 0 0 
0 0.00223565 0.0468949 0 0 
0 0.00223328 0.0468928 0 0 
0 0.00223092 0.0468908 0 0 
0 0.00222862 0.0468887 0 0 
0 0.0022263 0.046887 0 0 
0 0.00222394 0.0468849 0 0 
0 0.00222158 0.0468827 0 0 
0 0.00221942 0.0468807 0 0 
0 0.00221705 0.0468779 0 0 
0 0.00221464 0.0468757 0 0 
0 0.00221229 0.0468736 0 0 
0 0.00221002 0.0468718 0 0 
0 0.00220779 0.0468689 0 0 
