		f	li	be	u	zr	mo	xe	pu	nd	cs	ce	ru	sr	ba	la	tc	pr	he	y	kr	rb	rh	sm	te	pd	pm	h	i	o	se	ne	nb	np	br	eu	sn	cd	ag	sb	gd	in	n	am	ge	tb	as	dy	cm	th	ga	c	pa	zn	ho	er	tm	yb	b	cu	pb	cr	ni	fe
1.00E+02	146.6699643	63.32993667	31.78899987	4.995216457	0.001249168	0.000769367	0.00086878	0.000791673	0.000590599	0.000723093	0.000720059	0.00052338	0.000472355	0.00031402	0.000260473	0.000238158	0.000182084	0.000213296	0.000221901	0.000149879	0.000142	6.49E-05	7.41E-05	9.66E-05	4.92E-05	7.42E-05	5.80E-05	4.35E-05	2.08E-05	2.09E-05	1.47E-05	5.47E-05	2.88E-05	8.11E-06	7.58E-06	6.20E-06	2.83E-06	1.43E-06	2.81E-06	9.34E-07	4.73E-07	2.66E-07	8.01E-11	1.47E-07	4.27E-08	5.09E-08	4.89E-09	1.73E-13	7.84E-10	4.65E-10	2.49E-10	2.61E-10	2.54E-10	6.99E-11	6.35E-11	5.59E-12	1.77E-12	1.53E-13	7.36E-13	1.67E-17	0.17	0.65	0.12
1.10E+02	146.6699607	63.32993035	31.78899486	4.994739117	0.001373394	0.000852337	0.000955737	0.000873036	0.000655643	0.000797702	0.000786991	0.000571818	0.000513499	0.000341032	0.000285847	0.00026289	0.00020286	0.000234661	0.000242841	0.000164787	0.000156193	7.51E-05	8.20E-05	0.000105284	5.44E-05	8.24E-05	6.38E-05	4.62E-05	2.28E-05	2.30E-05	1.61E-05	6.07E-05	2.89E-05	8.92E-06	8.34E-06	6.81E-06	3.13E-06	1.58E-06	3.05E-06	1.05E-06	5.23E-07	2.92E-07	1.18E-10	1.61E-07	4.71E-08	5.51E-08	5.46E-09	2.80E-13	8.58E-10	5.09E-10	2.73E-10	2.88E-10	2.77E-10	7.77E-11	7.05E-11	6.21E-12	1.97E-12	1.85E-13	7.37E-13	2.50E-17	0.17	0.65	0.12
1.20E+02	146.6699572	63.32992403	31.78898984	4.994261964	0.001497494	0.000936462	0.001042679	0.000954287	0.000721121	0.00087228	0.000853064	0.000619928	0.00055404	0.000368018	0.000311209	0.000287615	0.000224058	0.000256031	0.000263598	0.000179689	0.000170383	8.56E-05	8.99E-05	0.000113959	5.97E-05	9.07E-05	6.95E-05	4.89E-05	2.49E-05	2.51E-05	1.76E-05	6.65E-05	2.91E-05	9.73E-06	9.11E-06	7.42E-06	3.42E-06	1.72E-06	3.29E-06	1.17E-06	5.72E-07	3.19E-07	1.68E-10	1.76E-07	5.15E-08	5.94E-08	6.05E-09	4.33E-13	9.31E-10	5.53E-10	2.98E-10	3.14E-10	2.99E-10	8.58E-11	7.76E-11	6.83E-12	2.16E-12	2.20E-13	7.37E-13	3.62E-17	0.17	0.65	0.12
1.30E+02	146.6699536	63.32991771	31.78898483	4.993785	0.001621471	0.001021674	0.001129606	0.001035426	0.000787006	0.000946828	0.000918361	0.000667762	0.000594053	0.000394994	0.000336562	0.000312332	0.000245605	0.000277409	0.000284181	0.000194582	0.00018457	9.63E-05	9.80E-05	0.000122624	6.50E-05	9.88E-05	7.52E-05	5.17E-05	2.70E-05	2.71E-05	1.91E-05	7.19E-05	2.92E-05	1.05E-05	9.87E-06	8.03E-06	3.71E-06	1.87E-06	3.53E-06	1.29E-06	6.22E-07	3.46E-07	2.33E-10	1.90E-07	5.60E-08	6.37E-08	6.64E-09	6.47E-13	1.00E-09	5.97E-10	3.23E-10	3.40E-10	3.22E-10	9.40E-11	8.48E-11	7.45E-12	2.36E-12	2.58E-13	7.38E-13	5.07E-17	0.17	0.65	0.12
1.40E+02	146.66995	63.32991139	31.78897982	4.993308224	0.001745329	0.001107903	0.001216518	0.001116452	0.000853276	0.001021347	0.000982956	0.000715359	0.000633602	0.000421968	0.000361907	0.000337042	0.00026744	0.000298792	0.000304601	0.000209468	0.000198753	0.000107301	0.000106051	0.000131281	7.04E-05	0.000106944	8.09E-05	5.44E-05	2.91E-05	2.92E-05	2.05E-05	7.69E-05	2.94E-05	1.13E-05	1.06E-05	8.64E-06	4.01E-06	2.02E-06	3.76E-06	1.41E-06	6.72E-07	3.72E-07	3.14E-10	2.05E-07	6.04E-08	6.80E-08	7.25E-09	9.36E-13	1.08E-09	6.41E-10	3.48E-10	3.67E-10	3.44E-10	1.02E-10	9.22E-11	8.07E-12	2.56E-12	2.99E-13	7.39E-13	6.91E-17	0.17	0.65	0.12
1.50E+02	146.6699465	63.32990508	31.7889748	4.992831636	0.001869072	0.001195081	0.001303415	0.001197367	0.000919916	0.001095835	0.001046914	0.000762756	0.000672742	0.000448946	0.000387244	0.000361745	0.00028951	0.000320181	0.000324867	0.000224347	0.000212933	0.000118435	0.000114195	0.000139932	7.58E-05	0.000114984	8.66E-05	5.72E-05	3.11E-05	3.13E-05	2.20E-05	8.16E-05	2.95E-05	1.21E-05	1.14E-05	9.26E-06	4.30E-06	2.17E-06	4.00E-06	1.53E-06	7.21E-07	3.99E-07	4.16E-10	2.19E-07	6.49E-08	7.23E-08	7.86E-09	1.32E-12	1.15E-09	6.86E-10	3.73E-10	3.93E-10	3.66E-10	1.11E-10	9.96E-11	8.70E-12	2.77E-12	3.43E-13	7.40E-13	9.21E-17	0.17	0.65	0.12
1.60E+02	146.6699429	63.32989877	31.78896979	4.992355236	0.001992705	0.001283136	0.001390296	0.001278171	0.000986913	0.001170293	0.001110287	0.000809982	0.000711522	0.000475929	0.000412574	0.00038644	0.00031177	0.000341576	0.000344991	0.000239219	0.000227109	0.000129717	0.000122399	0.000148576	8.12E-05	0.000122959	9.23E-05	6.00E-05	3.32E-05	3.34E-05	2.35E-05	8.59E-05	2.97E-05	1.29E-05	1.22E-05	9.87E-06	4.60E-06	2.33E-06	4.24E-06	1.65E-06	7.71E-07	4.25E-07	5.39E-10	2.33E-07	6.94E-08	7.65E-08	8.48E-09	1.82E-12	1.22E-09	7.30E-10	3.98E-10	4.19E-10	3.89E-10	1.20E-10	1.07E-10	9.32E-12	2.97E-12	3.90E-13	7.41E-13	1.20E-16	0.17	0.65	0.12
1.70E+02	146.6699393	63.32989246	31.78896478	4.991879024	0.002116232	0.001372	0.001477161	0.001358863	0.001054256	0.001244721	0.001173123	0.000857062	0.000749984	0.00050292	0.000437898	0.000411128	0.000334186	0.000362977	0.000364981	0.000254083	0.000241282	0.000141123	0.000130663	0.000157216	8.67E-05	0.000130871	9.80E-05	6.27E-05	3.53E-05	3.55E-05	2.49E-05	8.99E-05	2.99E-05	1.38E-05	1.29E-05	1.05E-05	4.90E-06	2.48E-06	4.47E-06	1.78E-06	8.21E-07	4.52E-07	6.89E-10	2.48E-07	7.40E-08	8.08E-08	9.12E-09	2.46E-12	1.30E-09	7.74E-10	4.23E-10	4.45E-10	4.12E-10	1.29E-10	1.15E-10	9.94E-12	3.17E-12	4.40E-13	7.41E-13	1.55E-16	0.17	0.65	0.12
1.80E+02	146.6699358	63.32988615	31.78895977	4.991402999	0.002239657	0.001461609	0.001564011	0.001439444	0.001121934	0.001319118	0.00123546	0.000904017	0.000788165	0.000529919	0.000463214	0.000435809	0.000356726	0.000384385	0.000384847	0.000268939	0.000255451	0.000152634	0.000138987	0.000165851	9.22E-05	0.000138718	0.00010371	6.55E-05	3.74E-05	3.76E-05	2.64E-05	9.36E-05	3.01E-05	1.46E-05	1.37E-05	1.11E-05	5.19E-06	2.64E-06	4.71E-06	1.91E-06	8.70E-07	4.78E-07	8.67E-10	2.62E-07	7.85E-08	8.51E-08	9.76E-09	3.26E-12	1.37E-09	8.18E-10	4.49E-10	4.71E-10	4.34E-10	1.38E-10	1.22E-10	1.06E-11	3.38E-12	4.93E-13	7.42E-13	1.96E-16	0.17	0.65	0.12
1.90E+02	146.6699322	63.32987984	31.78895475	4.990927162	0.002362986	0.001551899	0.001650845	0.001519914	0.001189939	0.001393485	0.001297332	0.000950864	0.000826099	0.000556927	0.000488524	0.000460482	0.000379365	0.000405798	0.000404598	0.000283789	0.000269617	0.000164231	0.00014737	0.000174482	9.77E-05	0.000146503	0.000109379	6.83E-05	3.94E-05	3.96E-05	2.79E-05	9.70E-05	3.03E-05	1.54E-05	1.45E-05	1.17E-05	5.49E-06	2.79E-06	4.94E-06	2.04E-06	9.20E-07	5.05E-07	1.08E-09	2.76E-07	8.31E-08	8.94E-08	1.04E-08	4.26E-12	1.44E-09	8.62E-10	4.74E-10	4.98E-10	4.57E-10	1.47E-10	1.30E-10	1.12E-11	3.59E-12	5.48E-13	7.43E-13	2.45E-16	0.17	0.65	0.12
